step,curLapTime,distFromStart,speedX,speedY,trackPos,angle,damage,track_block,track_block_role,front,near,openness,aim_hint,curve_urgency,track_pos_rate,projected_track_pos,tight_curve_cap,tight_curve_ticks,profile_speed,base_steer,base_target_speed,raw_delta_steer,raw_delta_speed,delta_steer,delta_speed,confidence,neighbor_distance,target_speed,governed_steer,filtered_steer_target,actuator_steer,front_wheel_speed,rear_wheel_speed,abs_slip,traction_slip,final_steer,final_accel,final_brake,final_gear,state,interventions,inference_ms
0,-0.982,3598.45,-0.00913045,-0.00302988,0.333439,0.00822276,0.0,S10,finish_straight,62.0267,57.4982,0.3026836964285714,0.5,0.0,0.0,0.333439,272.0,0,86.33810457143598,-0.03232578482307234,189.7466360139738,0.03232578482307235,-24.000338343133617,0.03232578482307235,-24.000338343133617,1.0,0.0,180.7462976708402,6.938893903907228e-18,1.942890293094024e-18,6.605826996519683e-19,0.0,0.0,0.002536236111111111,0.0,6.605826996519683e-19,0.2,0.0,1,NORMAL,performance_bonus,1.8198750040028244
5,-0.882,3598.45,-0.00913045,-0.00302988,0.333439,0.00822276,0.0,S10,finish_straight,62.0267,57.4982,0.3026836964285714,0.5,0.0,0.0,0.333439,272.0,0,86.33810457143598,-0.03232578482307234,189.7466360139738,0.03232578482307235,-7.8655682425559865,0.03232578482307235,-7.8655682425559865,1.0,0.0,196.88106777141783,6.938893903907228e-18,5.972208356297415e-18,4.7612799985508055e-18,0.0,0.0,0.002536236111111111,0.0,4.7612799985508055e-18,0.7378560000000001,0.0,1,NORMAL,performance_bonus,1.6178329969989136
10,-0.782,3598.45,-0.00913045,-0.00302988,0.333439,0.00822276,0.0,S10,finish_straight,62.0267,57.4982,0.3026836964285714,0.5,0.0,0.0,0.333439,272.0,0,86.33810457143598,-0.03232578482307234,189.7466360139738,0.03232578482307235,-2.5785267759987107,0.03232578482307235,-2.5785267759987107,1.0,0.0,202.1681092379751,6.938893903907228e-18,6.7518482128402484e-18,6.396967416415334e-18,0.0,0.0,0.002536236111111111,0.0,6.396967416415334e-18,0.9141006540800001,0.0,1,NORMAL,performance_bonus,1.3518750056391582
15,-0.682,3598.45,-0.00913045,-0.00302988,0.333439,0.00822276,0.0,S10,finish_straight,62.0267,57.4982,0.3026836964285714,0.5,0.0,0.0,0.333439,272.0,0,86.33810457143598,-0.03232578482307234,189.7466360139738,0.03232578482307235,-0.8460690282372231,0.03232578482307235,-0.8460690282372231,1.0,0.0,203.9005669857366,6.938893903907228e-18,6.902702103343716e-18,6.818935450346195e-18,0.0,0.0,0.002536236111111111,0.0,6.818935450346195e-18,0.9718525023289344,0.0,1,NORMAL,performance_bonus,1.3987499987706542
20,-0.582,3598.45,-0.00913045,-0.00302988,0.333439,0.00822276,0.0,S10,finish_straight,62.0267,57.4982,0.3026836964285714,0.5,0.0,0.0,0.333439,272.0,0,86.33810457143598,-0.03232578482307234,189.7466360139738,0.03232578482307235,-0.27837727345073615,0.03232578482307235,-0.27837727345073615,1.0,0.0,204.46825874052308,6.938893903907228e-18,6.931891088602811e-18,6.913791891247652e-18,0.0,0.0,0.002536236111111111,0.0,6.913791891247652e-18,0.9907766279631451,0.0,1,NORMAL,performance_bonus,1.1552919895621017
25,-0.482,3598.45,-0.00913045,-0.00302988,0.333439,0.00822276,0.0,S10,finish_straight,62.0267,57.4982,0.3026836964285714,0.5,0.0,0.0,0.333439,272.0,0,86.33810457143598,-0.03232578482307234,189.7466360139738,0.030619240986359837,-0.09235603924230174,0.030619240986359837,-0.09235603924230174,1.0,0.0,204.6542799747315,-0.0017065438367125062,-0.0012464405789614087,-0.0008117017984515456,0.0,0.0,0.002536236111111111,0.0,-0.0008117017984515456,0.9969776854509634,0.0,1,NORMAL,performance_bonus,1.2452499940991402
30,-0.382,3598.45,-0.00913045,-0.00302988,0.333439,0.00822276,0.0,S10,finish_straight,62.0267,57.4982,0.3026836964285714,0.5,0.0,0.0,0.333439,272.0,0,86.33810457143598,-0.03232578482307234,189.7466360139738,0.03204596965340495,-0.03140060121688215,0.03204596965340495,-0.03140060121688215,1.0,0.0,204.71523541275693,-0.00027981516966739395,-0.0007109176364913598,-0.0009002128673648145,0.0,0.0,0.002536236111111111,0.0,-0.0009002128673648145,0.9990096479685716,0.0,1,NORMAL,performance_bonus,1.2697079946519807
35,-0.282,3598.45,-0.00913045,-0.00302988,0.333439,0.00822276,0.0,S10,finish_straight,62.0267,57.4982,0.3026836964285714,0.5,0.0,0.0,0.333439,272.0,0,86.33810457143598,-0.03232578482307234,189.7466360139738,0.032290742657849,-0.01142672328471317,0.032290742657849,-0.01142672328471317,1.0,0.0,204.7352092906891,-3.504216522334097e-05,-0.00019638398417786448,-0.00036725789971712454,0.0,0.0,0.002536236111111111,0.0,-0.00036725789971712454,0.9996754814463416,0.0,1,NORMAL,performance_bonus,1.5042500017443672
40,-0.182,3598.45,-0.00913045,-0.00302988,0.333439,0.00822276,0.0,S10,finish_straight,62.0267,57.4982,0.3026836964285714,0.5,0.0,0.0,0.333439,272.0,0,86.33810457143598,-0.03232578482307234,189.7466360139738,0.03232139637856807,-0.004881682963897571,0.03232139637856807,-0.004881682963897571,1.0,0.0,204.74175433100993,-4.388444504274669e-06,-4.536581492270449e-05,-0.00010776480381859311,0.0,0.0,0.002536236111111111,0.0,-0.00010776480381859311,0.9998936617603371,0.0,1,NORMAL,performance_bonus,1.4408749993890524
45,-0.082,3598.45,-0.00913045,-0.00302988,0.333439,0.00822276,0.0,S10,finish_straight,62.0267,57.4982,0.3026836964285714,0.5,0.0,0.0,0.333439,272.0,0,86.33810457143598,-0.03232578482307234,189.7466360139738,0.03232578482307235,-0.002655172996010829,0.03232578482307235,-0.002655172996010829,1.0,0.0,204.7439808409778,6.938893903907228e-18,-9.378767761456176e-06,-2.685481203679601e-05,0.0,0.0,0.002536236111111111,0.0,-2.685481203679601e-05,0.9999651550856272,0.0,1,NORMAL,performance_bonus,1.2279170041438192
50,0.038,3598.45,0.262758,-0.0212381,0.333443,0.00863188,0.0,S10,finish_straight,61.9113,57.3994,0.3021330607142857,0.5,0.0,3.124999999985778e-07,0.33344862499999994,272.0,0,86.33810457143598,-0.03198004066783247,189.56609572123799,0.03197997184223881,-0.002034235798349382,0.03197997184223881,-0.002034235798349382,1.0,0.0,204.56406148543962,-6.882559366178098e-08,-1.8550085674572247e-06,-5.9953049781862355e-06,0.1353092904,0.15580836180000002,0.0,0.08282002846666668,-5.9953049781862355e-06,0.9999885820184583,0.0,1,NORMAL,performance_bonus,1.27720799355302
55,0.138,3598.47,2.62822,0.00556161,0.333426,0.00887984,0.0,S10,finish_straight,61.8188,57.3186,0.30168919285714285,0.5,0.0,-3.248107910154706e-06,0.3333675340576172,272.0,0,85.5047290285796,-0.031769706865253634,189.41760513952917,0.03176969824600033,-0.001803952664367614,0.03176969824600033,-0.001803952664367614,1.0,0.0,204.4158011868648,-8.619253304142926e-09,-3.7339850955191527e-07,-1.2813273170405451e-06,0.6161640150000001,2.078307504,0.0,1.348246392888889,-1.2813273170405451e-06,0.9999962585558084,0.0,1,NORMAL,performance_bonus,1.3721249997615814
60,0.238,3598.61,7.11351,6.13219e-05,0.33323,0.008897,0.0,S10,finish_straight,61.677,57.1875,0.3009977892857143,0.5,0.0,-3.415555685757697e-05,0.33261519997656364,272.0,0,79.67110022856595,-0.03173926582786844,189.17344712709408,0.03173926474845128,-0.0017284934870243074,0.03173926474845128,-0.0017284934870243074,1.0,2.9802322387695312e-08,204.17171863360704,-1.0794171598216273e-09,-7.406161502339653e-08,-2.661957550994828e-07,1.990802121,3.219862464,0.0,1.2438874640000004,-2.661957550994828e-07,0.9999987740035673,0.0,1,NORMAL,performance_bonus,1.264249993255362
65,0.34,3598.87,11.3514,-0.000180741,0.332842,0.00889557,0.0,S10,finish_straight,61.4153,56.9446,0.2997200464285714,0.5,0.0,-6.975761749647213e-05,0.33158636288506355,272.0,0,68.83721817143292,-0.031707347488391276,188.72075136905553,0.03170734735321234,-0.001703767023794045,0.03170734735321234,-0.001703767023794045,1.0,0.0,203.71904760203174,-1.3517893748815624e-10,-1.4557245039485759e-08,-5.418041701859163e-08,3.4413807,5.7089214,0.0,2.555754733333334,-5.418041701859163e-08,0.9999995982654889,0.0,1,NORMAL,performance_bonus,1.4340839989017695
70,0.44,3599.25,15.6052,-0.000280291,0.332285,0.00889271,0.0,S10,finish_straight,61.0406,56.597,0.2978911142857143,0.5,0.0,-0.00010444638774574682,0.33040496502057654,272.0,0,53.003082857142644,-0.03166025914277029,188.07125403764522,0.031660259125841396,-0.6881389813027307,0.031660259125841396,-0.6881389813027307,1.0,0.0,202.3831150563425,-1.6928895785195408e-11,-2.845126512899816e-09,-1.086661762010598e-08,4.715215560000001,7.735225679999999,0.0,3.400447902222221,-1.086661762010598e-08,0.977117134102086,0.0,1,NORMAL,performance_bonus,1.3153750041965395
