step,curLapTime,distFromStart,speedX,speedY,trackPos,angle,damage,track_block,track_block_role,front,near,openness,aim_hint,curve_urgency,track_pos_rate,projected_track_pos,tight_curve_cap,tight_curve_ticks,profile_speed,base_steer,base_target_speed,raw_delta_steer,raw_delta_speed,delta_steer,delta_speed,confidence,neighbor_distance,target_speed,governed_steer,filtered_steer_target,actuator_steer,front_wheel_speed,rear_wheel_speed,abs_slip,traction_slip,final_steer,final_accel,final_brake,final_gear,state,interventions,inference_ms
0,-0.982,3598.45,-0.00913045,-0.00302988,0.333439,0.00822276,0.0,S10,finish_straight,62.0267,57.4982,0.3026836964285714,0.5,0.0,0.0,0.333439,272.0,0,0.0,-0.03232578482307234,90.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,-0.03232578482307234,-0.009051219750460257,-0.003077414715156488,0.0,0.0,0.002536236111111111,0.0,-0.003077414715156488,0.2,0.0,1,NORMAL,performance_bonus,0.0
5,-0.882,3598.45,-0.00913045,-0.00302988,0.333439,0.00822276,0.0,S10,finish_straight,62.0267,57.4982,0.3026836964285714,0.5,0.0,0.0,0.333439,272.0,0,0.0,-0.03232578482307234,90.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,-0.03232578482307234,-0.027822348189459493,-0.022181073071154037,0.0,0.0,0.002536236111111111,0.0,-0.022181073071154037,0.7378560000000001,0.0,1,NORMAL,performance_bonus,0.0
10,-0.782,3598.45,-0.00913045,-0.00302988,0.333439,0.00822276,0.0,S10,finish_straight,62.0267,57.4982,0.3026836964285714,0.5,0.0,0.0,0.333439,272.0,0,0.0,-0.03232578482307234,90.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,-0.03232578482307234,-0.03145440692837512,-0.0298011462758938,0.0,0.0,0.002536236111111111,0.0,-0.0298011462758938,0.9141006540800001,0.0,1,NORMAL,performance_bonus,0.0
15,-0.682,3598.45,-0.00913045,-0.00302988,0.333439,0.00822276,0.0,S10,finish_straight,62.0267,57.4982,0.3026836964285714,0.5,0.0,0.0,0.333439,272.0,0,0.0,-0.03232578482307234,90.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,-0.03232578482307234,-0.03215718037781388,-0.03176694198569462,0.0,0.0,0.002536236111111111,0.0,-0.03176694198569462,0.9718525023289344,0.0,1,NORMAL,performance_bonus,0.0
20,-0.582,3598.45,-0.00913045,-0.00302988,0.333439,0.00822276,0.0,S10,finish_straight,62.0267,57.4982,0.3026836964285714,0.5,0.0,0.0,0.333439,272.0,0,0.0,-0.03232578482307234,90.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,-0.03232578482307234,-0.03229316125167593,-0.03220884366918,0.0,0.0,0.002536236111111111,0.0,-0.03220884366918,0.9907766279631451,0.0,1,NORMAL,performance_bonus,0.0
25,-0.482,3598.45,-0.00913045,-0.00302988,0.333439,0.00822276,0.0,S10,finish_straight,62.0267,57.4982,0.3026836964285714,0.5,0.0,0.0,0.333439,272.0,0,0.0,-0.03232578482307234,90.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,-0.03232578482307234,-0.032319472430720975,-0.03230205440960102,0.0,0.0,0.002536236111111111,0.0,-0.03230205440960102,0.9969776854509634,0.0,1,NORMAL,performance_bonus,0.0
30,-0.382,3598.45,-0.00913045,-0.00302988,0.333439,0.00822276,0.0,S10,finish_straight,62.0267,57.4982,0.3026836964285714,0.5,0.0,0.0,0.333439,272.0,0,0.0,-0.03232578482307234,90.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,-0.03232578482307234,-0.03232456342714626,-0.03232105501825698,0.0,0.0,0.002536236111111111,0.0,-0.03232105501825698,0.9990096479685716,0.0,1,NORMAL,performance_bonus,0.0
35,-0.282,3598.45,-0.00913045,-0.00302988,0.333439,0.00822276,0.0,S10,finish_straight,62.0267,57.4982,0.3026836964285714,0.5,0.0,0.0,0.333439,272.0,0,0.0,-0.03232578482307234,90.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,-0.03232578482307234,-0.032325548493021036,-0.032324852341912014,0.0,0.0,0.002536236111111111,0.0,-0.032324852341912014,0.9996754814463416,0.0,1,NORMAL,performance_bonus,0.0
40,-0.182,3598.45,-0.00913045,-0.00302988,0.333439,0.00822276,0.0,S10,finish_straight,62.0267,57.4982,0.3026836964285714,0.5,0.0,0.0,0.333439,272.0,0,0.0,-0.03232578482307234,90.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,-0.03232578482307234,-0.03232573909515402,-0.032325602228751575,0.0,0.0,0.002536236111111111,0.0,-0.032325602228751575,0.9998936617603371,0.0,1,NORMAL,performance_bonus,0.0
45,-0.082,3598.45,-0.00913045,-0.00302988,0.333439,0.00822276,0.0,S10,finish_straight,62.0267,57.4982,0.3026836964285714,0.5,0.0,0.0,0.333439,272.0,0,0.0,-0.03232578482307234,90.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,-0.03232578482307234,-0.0323257759750968,-0.03232574922120771,0.0,0.0,0.002536236111111111,0.0,-0.03232574922120771,0.9999651550856272,0.0,1,NORMAL,performance_bonus,0.0
50,0.038,3598.45,0.262305,-0.0219255,0.333442,0.00863331,0.0,S10,finish_straight,61.911,57.3992,0.30213165,0.5,0.0,6.250000000526668e-08,0.3334431250000001,272.0,0,0.0,-0.03197875178508741,90.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,-0.03197875178508741,-0.032144781823025576,-0.03223810981083165,0.1352747427,0.15598493819999998,0.0,0.08312243819999998,-0.03223810981083165,0.9999885820184583,0.0,1,NORMAL,performance_bonus,0.0
55,0.138,3598.47,2.63138,-0.00326674,0.33343,0.00904196,0.0,S10,finish_straight,61.7737,57.28,0.301474025,0.5,0.0,-2.855285644528127e-06,0.3333786048583985,272.0,0,0.0,-0.03163288200234261,90.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,-0.03163288200234261,-0.031831790537035755,-0.03196138182063437,0.618643515,2.06261874,0.0,1.3316798511111112,-0.03196138182063437,0.9999962585558084,0.0,1,NORMAL,performance_bonus,0.0
